id,title,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,genres
462,Erin Brockovich,52000000,256271286,131,6.5781,7.428,3686,2000-03-17,Drama
8656,Deep Impact,75000000,349464664,122,6.8531,6.237,3365,1998-05-08,"Action, Drama, Science Fiction"
360920,The Grinch,75000000,552976825,85,11.3435,6.865,4467,2018-11-08,"Animation, Comedy, Family, Fantasy"
16859,Kiki's Delivery Service,6900000,4493017,103,15.0372,7.839,4640,1989-07-29,"Animation, Family, Fantasy"
41439,Saw 3D,17000000,136151680,90,8.902,5.978,3339,2010-10-22,"Horror, Crime"
16869,Inglourious Basterds,70000000,321457747,153,19.6395,8.217,24408,2009-08-02,"Drama, Thriller, War"
41446,Scream 4,40000000,97231420,111,7.3745,6.481,4235,2011-04-13,"Horror, Mystery"
451048,Jungle Cruise,200000000,220889446,127,8.108,7.283,6225,2021-07-28,"Fantasy, Comedy, Adventure"
489,Good Will Hunting,10000000,225933435,127,21.3635,8.162,14005,1997-12-05,Drama
8681,Taken,25000000,226830568,94,12.165,7.409,12198,2008-02-18,"Action, Thriller"
490,The Seventh Seal,150000,311212,96,6.3743,8.144,3385,1957-02-16,"Fantasy, Drama"
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,262552893,84,7.8012,6.789,6040,2006-11-01,Comedy
1057265,Peddi,36500000,35700000,189,33.2306,5.974,57,2026-06-03,"Action, Drama"
497,The Green Mile,60000000,286801374,189,30.8693,8.506,19467,1999-12-10,"Fantasy, Drama, Crime"
508,Love Actually,40000000,250779876,135,6.9169,7.099,7448,2003-09-07,"Comedy, Romance, Drama"
509,Notting Hill,42000000,363889678,124,7.3624,7.267,6780,1999-05-21,"Romance, Comedy"
510,One Flew Over the Cuckoo's Nest,3000000,108981275,135,14.522,8.409,11563,1975-11-19,Drama
188927,Star Trek Beyond,185000000,343471816,122,10.318,6.793,7161,2016-07-07,"Action, Adventure, Science Fiction"
254470,Pitch Perfect 2,29000000,287144079,115,8.1054,6.841,5545,2015-05-07,"Comedy, Music"
565770,Blue Beetle,104000000,130788072,128,13.0321,6.633,3164,2023-08-16,"Action, Science Fiction, Adventure"
524,Casino,50000000,116112375,179,8.7096,7.997,6614,1995-11-22,"Crime, Drama"
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,75000000,180513586,100,11.1609,7.226,1628,2023-07-31,"Animation, Comedy, Action, Science Fiction"
508439,Onward,200000000,141888276,102,7.5132,7.638,6630,2020-02-29,"Adventure, Animation, Comedy, Family, Fantasy"
516632,The Empty Man,16000000,4796993,137,5.1648,6.149,1049,2020-10-22,"Horror, Mystery"
508442,Soul,150000000,121977511,101,15.926,8.091,11536,2020-12-25,"Animation, Family, Drama, Music, Fantasy"
539,Psycho,806947,50000000,109,15.4525,8.412,11088,1960-06-22,"Horror, Thriller, Mystery"
544,There's Something About Mary,23000000,369900000,120,7.3015,6.634,5409,1998-07-15,"Romance, Comedy"
934433,Scream VI,33000000,169063850,123,9.2636,6.9,3260,2023-03-08,"Horror, Thriller, Crime"
41513,The Smurfs,110000000,563749323,103,6.9219,5.755,4033,2011-07-29,"Animation, Family, Adventure, Comedy, Fantasy"
557,Spider-Man,139000000,821708551,121,37.9724,7.336,20891,2002-05-01,"Action, Science Fiction"
680493,Return to Silent Hill,23000000,47976996,106,16.4278,5.376,740,2026-01-21,"Mystery, Drama, Horror"
559,Spider-Man 3,258000000,894983373,139,20.3048,6.5,15376,2007-05-01,"Action, Adventure, Science Fiction"
131631,The Hunger Games: Mockingjay - Part 1,125000000,755356711,123,15.2459,6.818,16825,2014-11-19,"Science Fiction, Adventure, Thriller"
561,Constantine,100000000,230900000,121,13.5875,7.186,8305,2005-02-08,"Fantasy, Action, Horror"
562,Die Hard,28000000,140767956,132,16.2588,7.815,12419,1988-07-15,"Action, Thriller"
558,Spider-Man 2,200000000,788976453,127,11.2799,7.315,16522,2004-06-25,"Action, Adventure, Science Fiction"
131634,The Hunger Games: Mockingjay - Part 2,160000000,653428261,137,10.4716,6.9,13437,2015-11-18,"Action, Adventure, Science Fiction"
746036,The Fall Guy,125000000,181073291,127,9.6402,6.958,3879,2024-04-24,"Action, Comedy, Romance"
565,The Ring,48000000,249348933,115,9.3404,6.708,6749,2002-10-18,"Horror, Mystery"
567,Rear Window,1000000,37042336,113,10.1914,8.337,7233,1954-08-01,"Thriller, Mystery, Drama"
568,Apollo 13,52000000,355237933,140,10.4455,7.464,5989,1995-06-30,"Drama, History"
401981,Red Sparrow,69000000,151572634,140,6.6117,6.534,6396,2018-02-28,"Thriller, Mystery"
762430,Retribution,20000000,18685751,91,6.1013,6.52,1394,2023-08-23,"Thriller, Action, Adventure"
8769,Christine,9700000,21200000,110,7.2474,6.88,2277,1983-12-09,Horror
578,Jaws,7000000,470653000,124,17.2366,7.683,11657,1975-06-20,"Horror, Thriller, Adventure"
579,Jaws 2,20000000,187884000,117,6.8874,6.044,2147,1978-06-16,"Horror, Thriller"
581,Dances with Wolves,22000000,424208848,181,8.6457,7.847,4738,1990-11-09,"Adventure, Drama, Western"
585,"Monsters, Inc.",115000000,579700000,92,29.4515,7.855,19973,2001-11-01,"Animation, Comedy, Family, Fantasy"
762441,A Quiet Place: Day One,67000000,261907653,100,8.8021,6.644,3433,2024-06-26,"Horror, Science Fiction, Thriller"
82507,Sinister,3000000,82515113,110,10.2615,6.875,6099,2012-10-04,"Horror, Thriller, Mystery"
588,Silent Hill,50000000,100605135,125,7.3897,6.643,4973,2006-04-21,"Horror, Mystery"
